[2025-08-08 14:42:15,642 ] 18 root - INFO - Initiate the data ingestion
[2025-08-08 14:42:18,677 ] 65 root - INFO - Performed train test split on the dataframe
[2025-08-08 14:42:18,677 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-08-08 14:42:18,678 ] 75 root - INFO - Exporting train and test file path.
[2025-08-08 14:42:18,748 ] 84 root - INFO - Exported train and test file path.
[2025-08-08 14:42:18,749 ] 20 root - INFO - Data Initiation Completed
[2025-08-08 14:42:18,756 ] 24 root - INFO - Initiate the data Validation
[2025-08-08 14:42:18,873 ] 32 root - INFO - Required number of columns:2
[2025-08-08 14:42:18,875 ] 33 root - INFO - Data frame has columns:31
[2025-08-08 14:42:18,875 ] 32 root - INFO - Required number of columns:2
[2025-08-08 14:42:18,875 ] 33 root - INFO - Data frame has columns:31
[2025-08-08 14:42:19,069 ] 26 root - INFO - data Validation Completed
[2025-08-08 14:42:19,069 ] 30 root - INFO - Data Transformation Started
[2025-08-08 14:42:19,070 ] 101 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-08-08 14:42:19,070 ] 103 root - INFO - Starting data transformation
[2025-08-08 14:42:19,106 ] 47 root - INFO - Entered get_data_transformer_object method of Transformation Class
[2025-08-08 14:42:19,106 ] 51 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-08 14:42:19,130 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-08 14:42:19,137 ] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-08-08 14:42:19,137 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-08 14:42:19,142 ] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-08-08 14:42:19,145 ] 34 root - INFO - Data Transformation Completed
