[2025-08-08 12:30:14,306 ] 18 root - INFO - Initiate the data ingestion
[2025-08-08 12:30:17,628 ] 65 root - INFO - Performed train test split on the dataframe
[2025-08-08 12:30:17,628 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-08-08 12:30:17,629 ] 75 root - INFO - Exporting train and test file path.
[2025-08-08 12:30:17,699 ] 84 root - INFO - Exported train and test file path.
[2025-08-08 12:30:17,701 ] 20 root - INFO - Data Initiation Completed
[2025-08-08 12:30:17,730 ] 24 root - INFO - Initiate the data Validation
[2025-08-08 12:30:17,839 ] 32 root - INFO - Required number of columns:2
[2025-08-08 12:30:17,840 ] 33 root - INFO - Data frame has columns:31
[2025-08-08 12:30:17,840 ] 32 root - INFO - Required number of columns:2
[2025-08-08 12:30:17,840 ] 33 root - INFO - Data frame has columns:31
[2025-08-08 12:30:18,042 ] 26 root - INFO - data Validation Completed
[2025-08-08 12:30:18,042 ] 30 root - INFO - Data Transformation Started
[2025-08-08 12:30:18,043 ] 59 root - INFO - Entered initiate_data_transformation method of data transformation class
[2025-08-08 12:30:18,043 ] 61 root - INFO - Starting data transformation
[2025-08-08 12:30:18,079 ] 47 root - INFO - Entered get_data_transformer_object method of Transformation Class
[2025-08-08 12:30:18,079 ] 51 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-08 12:30:18,102 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-08 12:30:18,109 ] 51 root - INFO - Exited the save_object method of MainUtils class
