[2025-08-08 12:43:01,443 ] 18 root - INFO - Initiate the data ingestion
[2025-08-08 12:43:05,509 ] 65 root - INFO - Performed train test split on the dataframe
[2025-08-08 12:43:05,509 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-08-08 12:43:05,510 ] 75 root - INFO - Exporting train and test file path.
[2025-08-08 12:43:05,586 ] 84 root - INFO - Exported train and test file path.
[2025-08-08 12:43:05,587 ] 20 root - INFO - Data Initiation Completed
[2025-08-08 12:43:05,597 ] 24 root - INFO - Initiate the data Validation
[2025-08-08 12:43:05,713 ] 32 root - INFO - Required number of columns:2
[2025-08-08 12:43:05,715 ] 33 root - INFO - Data frame has columns:31
[2025-08-08 12:43:05,715 ] 32 root - INFO - Required number of columns:2
[2025-08-08 12:43:05,715 ] 33 root - INFO - Data frame has columns:31
[2025-08-08 12:43:05,940 ] 26 root - INFO - data Validation Completed
[2025-08-08 12:43:05,940 ] 30 root - INFO - Data Transformation Started
[2025-08-08 12:43:05,940 ] 101 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-08-08 12:43:05,940 ] 103 root - INFO - Starting data transformation
[2025-08-08 12:43:05,982 ] 47 root - INFO - Entered get_data_transformer_object method of Transformation Class
[2025-08-08 12:43:05,982 ] 51 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-08 12:43:06,007 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-08 12:43:06,014 ] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-08-08 12:43:06,014 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-08 12:43:06,021 ] 51 root - INFO - Exited the save_object method of MainUtils class
