[2025-08-08 12:36:07,330 ] 18 root - INFO - Initiate the data ingestion
[2025-08-08 12:36:11,336 ] 65 root - INFO - Performed train test split on the dataframe
[2025-08-08 12:36:11,337 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-08-08 12:36:11,338 ] 75 root - INFO - Exporting train and test file path.
[2025-08-08 12:36:11,420 ] 84 root - INFO - Exported train and test file path.
[2025-08-08 12:36:11,421 ] 20 root - INFO - Data Initiation Completed
[2025-08-08 12:36:11,430 ] 24 root - INFO - Initiate the data Validation
[2025-08-08 12:36:11,596 ] 32 root - INFO - Required number of columns:2
[2025-08-08 12:36:11,597 ] 33 root - INFO - Data frame has columns:31
[2025-08-08 12:36:11,597 ] 32 root - INFO - Required number of columns:2
[2025-08-08 12:36:11,597 ] 33 root - INFO - Data frame has columns:31
[2025-08-08 12:36:11,807 ] 26 root - INFO - data Validation Completed
[2025-08-08 12:36:11,807 ] 30 root - INFO - Data Transformation Started
[2025-08-08 12:36:11,808 ] 101 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-08-08 12:36:11,808 ] 103 root - INFO - Starting data transformation
[2025-08-08 12:36:11,842 ] 47 root - INFO - Entered get_data_transformer_object method of Transformation Class
[2025-08-08 12:36:11,843 ] 51 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-08 12:36:11,868 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-08 12:36:11,873 ] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-08-08 12:36:11,873 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-08 12:36:11,878 ] 51 root - INFO - Exited the save_object method of MainUtils class
