[2025-08-10 14:23:20,992 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-08-10 14:23:21,008 ] 107 dagshub - INFO - Accessing as JainulTrivedi55555
[2025-08-10 14:23:22,175 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/JainulTrivedi55555/Networksecurity "HTTP/1.1 200 OK"
[2025-08-10 14:23:23,257 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-08-10 14:23:23,264 ] 107 dagshub - INFO - Initialized MLflow to track repo "JainulTrivedi55555/Networksecurity"
[2025-08-10 14:23:23,267 ] 107 dagshub - INFO - Repository JainulTrivedi55555/Networksecurity initialized!
[2025-08-10 14:23:35,572 ] 32 root - INFO - Starting training pipeline...
[2025-08-10 14:23:35,572 ] 41 root - INFO - Start data Ingestion
[2025-08-10 14:23:39,723 ] 65 root - INFO - Performed train test split on the dataframe
[2025-08-10 14:23:39,724 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-08-10 14:23:39,726 ] 75 root - INFO - Exporting train and test file path.
[2025-08-10 14:23:39,896 ] 84 root - INFO - Exported train and test file path.
[2025-08-10 14:23:39,898 ] 44 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\08_10_2025_14_23_12\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\08_10_2025_14_23_12\\data_ingestion\\ingested\\test.csv')
[2025-08-10 14:23:39,918 ] 54 root - INFO - Initiate the data Validation
[2025-08-10 14:23:40,098 ] 32 root - INFO - Required number of columns:2
[2025-08-10 14:23:40,098 ] 33 root - INFO - Data frame has columns:31
[2025-08-10 14:23:40,098 ] 32 root - INFO - Required number of columns:2
[2025-08-10 14:23:40,098 ] 33 root - INFO - Data frame has columns:31
[2025-08-10 14:23:40,608 ] 101 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-08-10 14:23:40,608 ] 103 root - INFO - Starting data transformation
[2025-08-10 14:23:40,688 ] 47 root - INFO - Entered get_data_transformer_object method of Transformation Class
[2025-08-10 14:23:40,688 ] 51 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-10 14:23:40,759 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-10 14:23:40,777 ] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-08-10 14:23:40,778 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-10 14:23:40,790 ] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-08-10 14:27:55,067 ] 242 root - INFO - Starting MLflow tracking run...
[2025-08-10 14:28:03,627 ] 260 root - INFO - Attempting to log model as a file artifact to handle DagsHub API incompatibility.
[2025-08-10 14:28:11,004 ] 272 root - INFO - Successfully logged the model as a file artifact.
[2025-08-10 14:28:11,312 ] 275 root - INFO - MLflow tracking run completed.
[2025-08-10 14:28:11,334 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-10 14:28:11,370 ] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-08-10 14:28:11,370 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-10 14:28:11,396 ] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-08-10 14:28:11,396 ] 346 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_10_2025_14_23_12\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9922858302882663, precision_score=0.9912796592983167, recall_score=0.9932940459256249), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9693795326349718, precision_score=0.9654895666131621, recall_score=0.9733009708737864))
[2025-08-10 14:28:11,400 ] 37 root - INFO - Starting model evaluation process...
[2025-08-10 14:28:11,400 ] 49 root - INFO - Model evaluation completed. Model accepted: True
[2025-08-10 14:28:11,400 ] 35 root - INFO - Training pipeline finished successfully.
