[2025-08-08 14:45:35,210 ] 18 root - INFO - Initiate the data ingestion
[2025-08-08 14:45:38,934 ] 65 root - INFO - Performed train test split on the dataframe
[2025-08-08 14:45:38,935 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-08-08 14:45:38,936 ] 75 root - INFO - Exporting train and test file path.
[2025-08-08 14:45:39,003 ] 84 root - INFO - Exported train and test file path.
[2025-08-08 14:45:39,004 ] 20 root - INFO - Data Initiation Completed
[2025-08-08 14:45:39,011 ] 24 root - INFO - Initiate the data Validation
[2025-08-08 14:45:39,139 ] 32 root - INFO - Required number of columns:2
[2025-08-08 14:45:39,142 ] 33 root - INFO - Data frame has columns:31
[2025-08-08 14:45:39,142 ] 32 root - INFO - Required number of columns:2
[2025-08-08 14:45:39,142 ] 33 root - INFO - Data frame has columns:31
[2025-08-08 14:45:39,374 ] 26 root - INFO - data Validation Completed
[2025-08-08 14:45:39,375 ] 30 root - INFO - Data Transformation Started
[2025-08-08 14:45:39,375 ] 101 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-08-08 14:45:39,375 ] 103 root - INFO - Starting data transformation
[2025-08-08 14:45:39,412 ] 47 root - INFO - Entered get_data_transformer_object method of Transformation Class
[2025-08-08 14:45:39,412 ] 51 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-08 14:45:39,440 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-08 14:45:39,446 ] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-08-08 14:45:39,447 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-08-08 14:45:39,453 ] 51 root - INFO - Exited the save_object method of MainUtils class
